season,baker,week,challenge,order_judged,placement,notes,sweet,week_id,order_judged_std,order_judged_prank,order_judged_quartile,order_judged_quartile_1,order_judged_quartile_2,order_judged_quartile_3,order_judged_quartile_4,order_judged_quartile_NA,placement_std,placement_prank,judged_first,judged_last,judged_middle,baker_id,bottom3,prue_years,week_out,week_out2
the beginnings,cathryn,1,rum baba,5,5,NA,1,the beginnings1,-0.41602514716892186,0.36363636363636365,2,0,1,0,0,0,-0.03971584462772664,0.48679867986798675,0,0,1,cathryn_the beginnings,0,0,8,0
the beginnings,ryan,1,rum baba,9,8,NA,1,the beginnings1,0.6933752452815365,0.7272727272727274,3,0,0,1,0,0,-1.0441957483373152,0.20792079207920788,0,0,0,ryan_the beginnings,0,0,7,0
the beginnings,john,1,rum baba,8,11,NA,1,the beginnings1,0.41602514716892186,0.6363636363636365,3,0,0,1,0,0,-2.0486756520469034,0.04785478547854782,0,0,1,john_the beginnings,1,0,NA,0
the beginnings,manisha,1,rum baba,6,6,NA,1,the beginnings1,-0.1386750490563073,0.4545454545454546,2,0,1,0,0,0,-0.3745424791975895,0.3795379537953796,0,0,1,manisha_the beginnings,0,0,5,0
the beginnings,victoria,1,rum baba,7,4,NA,1,the beginnings1,0.1386750490563073,0.5454545454545455,3,0,0,1,0,0,0.2951107899421362,0.6039603960396039,0,0,1,victoria_the beginnings,0,0,3,0
the beginnings,natasha,1,rum baba,11,12,NA,1,the beginnings1,1.2480754415067656,0.9090909090909093,4,0,0,0,1,0,-2.3835022866167663,0.018151815181518205,0,0,0,natasha_the beginnings,1,0,1,1
the beginnings,stuart,1,rum baba,10,9,NA,1,the beginnings1,0.9707253433941511,0.8181818181818183,4,0,0,0,1,0,-1.379022382907178,0.14356435643564358,0,0,0,stuart_the beginnings,1,0,4,0
the beginnings,brendan,1,rum baba,2,10,NA,1,the beginnings1,-1.2480754415067656,0.09090909090909091,1,1,0,0,0,0,-1.7138490174770407,0.08910891089108908,0,0,0,brendan_the beginnings,1,0,NA,0
the beginnings,danny,1,rum baba,3,7,NA,1,the beginnings1,-0.9707253433941511,0.18181818181818182,1,1,0,0,0,0,-0.7093691137674523,0.28712871287128716,0,0,0,danny_the beginnings,0,0,9,0
the beginnings,james,1,rum baba,12,2,NA,1,the beginnings1,1.52542553961938,1.0000000000000002,4,0,0,0,1,0,0.9647640590818618,0.8679867986798679,0,1,0,james_the beginnings,0,0,NA,0
the beginnings,sarah-jane,1,rum baba,1,1,NA,1,the beginnings1,-1.52542553961938,0,1,1,0,0,0,0,1.2995906936517247,1,1,0,0,sarah-jane_the beginnings,0,0,7,0
the beginnings,peter,1,rum baba,4,3,NA,1,the beginnings1,-0.6933752452815365,0.2727272727272727,2,0,1,0,0,0,0.629937424511999,0.7343234323432344,0,0,0,peter_the beginnings,0,0,2,0
the beginnings,brendan,2,plaited loaf,2,4,NA,0,the beginnings2,-1.2060453783110545,0.1,1,1,0,0,0,0,0.2951107899421362,0.6039603960396039,0,0,0,brendan_the beginnings,0,0,NA,0
the beginnings,cathryn,2,plaited loaf,9,8,NA,0,the beginnings2,0.9045340337332909,0.7999999999999999,3,0,0,1,0,0,-1.0441957483373152,0.20792079207920788,0,0,0,cathryn_the beginnings,0,0,8,0
the beginnings,danny,2,plaited loaf,6,3,NA,0,the beginnings2,0,0.5,2,0,1,0,0,0,0.629937424511999,0.7343234323432344,0,0,1,danny_the beginnings,0,0,9,0
the beginnings,james,2,plaited loaf,4,2,NA,0,the beginnings2,-0.6030226891555273,0.30000000000000004,2,0,1,0,0,0,0.9647640590818618,0.8679867986798679,0,0,0,james_the beginnings,0,0,NA,0
the beginnings,john,2,plaited loaf,11,1,NA,0,the beginnings2,1.507556722888818,0.9999999999999999,4,0,0,0,1,0,1.2995906936517247,1,0,1,0,john_the beginnings,0,0,NA,0
the beginnings,manisha,2,plaited loaf,5,6,NA,0,the beginnings2,-0.30151134457776363,0.4,2,0,1,0,0,0,-0.3745424791975895,0.3795379537953796,0,0,1,manisha_the beginnings,0,0,5,0
the beginnings,peter,2,plaited loaf,7,11,NA,0,the beginnings2,0.30151134457776363,0.6,3,0,0,1,0,0,-2.0486756520469034,0.04785478547854782,0,0,1,peter_the beginnings,1,0,2,1
the beginnings,ryan,2,plaited loaf,1,5,NA,0,the beginnings2,-1.507556722888818,0,1,1,0,0,0,0,-0.03971584462772664,0.48679867986798675,1,0,0,ryan_the beginnings,0,0,7,0
the beginnings,sarah-jane,2,plaited loaf,3,10,NA,0,the beginnings2,-0.9045340337332909,0.2,1,1,0,0,0,0,-1.7138490174770407,0.08910891089108908,0,0,0,sarah-jane_the beginnings,1,0,7,0
the beginnings,stuart,2,plaited loaf,10,9,NA,0,the beginnings2,1.2060453783110545,0.8999999999999999,4,0,0,0,1,0,-1.379022382907178,0.14356435643564358,0,0,0,stuart_the beginnings,1,0,4,0
the beginnings,victoria,2,plaited loaf,8,7,NA,0,the beginnings2,0.6030226891555273,0.7,3,0,0,1,0,0,-0.7093691137674523,0.28712871287128716,0,0,1,victoria_the beginnings,0,0,3,0
the beginnings,brendan,3,treacle tart,10,9,NA,1,the beginnings3,1.4863010829205867,1.0000000000000002,4,0,0,0,1,0,-1.379022382907178,0.14356435643564358,0,1,0,brendan_the beginnings,1,0,NA,0
the beginnings,cathryn,3,treacle tart,3,3,NA,1,the beginnings3,-0.8257228238447705,0.2222222222222222,1,1,0,0,0,0,0.629937424511999,0.7343234323432344,0,0,0,cathryn_the beginnings,0,0,8,0
the beginnings,danny,3,treacle tart,5,2,NA,1,the beginnings3,-0.1651445647689541,0.4444444444444444,2,0,1,0,0,0,0.9647640590818618,0.8679867986798679,0,0,1,danny_the beginnings,0,0,9,0
the beginnings,james,3,treacle tart,1,1,NA,1,the beginnings3,-1.4863010829205867,0,1,1,0,0,0,0,1.2995906936517247,1,1,0,0,james_the beginnings,0,0,NA,0
the beginnings,john,3,treacle tart,6,6,NA,1,the beginnings3,0.1651445647689541,0.5555555555555556,3,0,0,1,0,0,-0.3745424791975895,0.3795379537953796,0,0,1,john_the beginnings,0,0,NA,0
the beginnings,manisha,3,treacle tart,9,10,NA,1,the beginnings3,1.1560119533826787,0.8888888888888891,4,0,0,0,1,0,-1.7138490174770407,0.08910891089108908,0,0,0,manisha_the beginnings,1,0,5,0
the beginnings,ryan,3,treacle tart,8,5,NA,1,the beginnings3,0.8257228238447705,0.7777777777777779,3,0,0,1,0,0,-0.03971584462772664,0.48679867986798675,0,0,0,ryan_the beginnings,0,0,7,0
the beginnings,sarah-jane,3,treacle tart,7,8,NA,1,the beginnings3,0.49543369430686224,0.6666666666666667,3,0,0,1,0,0,-1.0441957483373152,0.20792079207920788,0,0,1,sarah-jane_the beginnings,1,0,7,0
the beginnings,stuart,3,treacle tart,4,7,NA,1,the beginnings3,-0.49543369430686224,0.3333333333333333,2,0,1,0,0,0,-0.7093691137674523,0.28712871287128716,0,0,0,stuart_the beginnings,0,0,4,0
the beginnings,victoria,3,treacle tart,2,4,NA,1,the beginnings3,-1.1560119533826787,0.1111111111111111,1,1,0,0,0,0,0.2951107899421362,0.6039603960396039,0,0,0,victoria_the beginnings,0,0,3,1
the beginnings,brendan,4,creme caramel,4,1,NA,1,the beginnings4,-0.3651483716701107,0.375,2,0,1,0,0,0,1.2995906936517247,1,0,0,1,brendan_the beginnings,0,0,NA,0
the beginnings,cathryn,4,creme caramel,7,3,NA,1,the beginnings4,0.7302967433402214,0.75,3,0,0,1,0,0,0.629937424511999,0.7343234323432344,0,0,0,cathryn_the beginnings,0,0,8,0
the beginnings,danny,4,creme caramel,3,2,NA,1,the beginnings4,-0.7302967433402214,0.25,1,1,0,0,0,0,0.9647640590818618,0.8679867986798679,0,0,0,danny_the beginnings,0,0,9,0
the beginnings,james,4,creme caramel,2,5,NA,1,the beginnings4,-1.0954451150103321,0.125,1,1,0,0,0,0,-0.03971584462772664,0.48679867986798675,0,0,0,james_the beginnings,0,0,NA,0
the beginnings,john,4,creme caramel,8,6,NA,1,the beginnings4,1.0954451150103321,0.875,4,0,0,0,1,0,-0.3745424791975895,0.3795379537953796,0,0,0,john_the beginnings,0,0,NA,0
the beginnings,manisha,4,creme caramel,9,9,NA,1,the beginnings4,1.4605934866804429,1,4,0,0,0,1,0,-1.379022382907178,0.14356435643564358,0,1,0,manisha_the beginnings,1,0,5,0
the beginnings,ryan,4,creme caramel,1,7,NA,1,the beginnings4,-1.4605934866804429,0,1,1,0,0,0,0,-0.7093691137674523,0.28712871287128716,1,0,0,ryan_the beginnings,1,0,7,0
the beginnings,sarah-jane,4,creme caramel,5,4,NA,1,the beginnings4,0,0.5,2,0,1,0,0,0,0.2951107899421362,0.6039603960396039,0,0,1,sarah-jane_the beginnings,0,0,7,0
the beginnings,stuart,4,creme caramel,6,8,NA,1,the beginnings4,0.3651483716701107,0.625,3,0,0,1,0,0,-1.0441957483373152,0.20792079207920788,0,0,1,stuart_the beginnings,1,0,4,1
the beginnings,brendan,5,hand-raised pie,5,3,NA,0,the beginnings5,0.20412414523193154,0.5714285714285714,3,0,0,1,0,0,0.629937424511999,0.7343234323432344,0,0,1,brendan_the beginnings,0,0,NA,0
the beginnings,cathryn,5,hand-raised pie,4,1,NA,0,the beginnings5,-0.20412414523193154,0.42857142857142855,2,0,1,0,0,0,1.2995906936517247,1,0,0,1,cathryn_the beginnings,0,0,8,0
the beginnings,danny,5,hand-raised pie,3,7,NA,0,the beginnings5,-0.6123724356957946,0.2857142857142857,2,0,1,0,0,0,-0.7093691137674523,0.28712871287128716,0,0,0,danny_the beginnings,1,0,9,0
the beginnings,james,5,hand-raised pie,2,6,NA,0,the beginnings5,-1.0206207261596576,0.14285714285714285,1,1,0,0,0,0,-0.3745424791975895,0.3795379537953796,0,0,0,james_the beginnings,0,0,NA,0
the beginnings,john,5,hand-raised pie,8,2,NA,0,the beginnings5,1.4288690166235207,0.9999999999999998,4,0,0,0,1,0,0.9647640590818618,0.8679867986798679,0,1,0,john_the beginnings,0,0,NA,0
the beginnings,manisha,5,hand-raised pie,7,5,NA,0,the beginnings5,1.0206207261596576,0.857142857142857,4,0,0,0,1,0,-0.03971584462772664,0.48679867986798675,0,0,0,manisha_the beginnings,0,0,5,1
the beginnings,ryan,5,hand-raised pie,1,8,NA,0,the beginnings5,-1.4288690166235207,0,1,1,0,0,0,0,-1.0441957483373152,0.20792079207920788,1,0,0,ryan_the beginnings,1,0,7,0
the beginnings,sarah-jane,5,hand-raised pie,6,4,NA,0,the beginnings5,0.6123724356957946,0.7142857142857142,3,0,0,1,0,0,0.2951107899421362,0.6039603960396039,0,0,1,sarah-jane_the beginnings,0,0,7,0
the beginnings,brendan,6,queen of puddings,1,1,NA,1,the beginnings6,-1.3887301496588271,0,1,1,0,0,0,0,1.2995906936517247,1,1,0,0,brendan_the beginnings,0,0,NA,0
the beginnings,cathryn,6,queen of puddings,4,3,NA,1,the beginnings6,0,0.5,2,0,1,0,0,0,0.629937424511999,0.7343234323432344,0,0,1,cathryn_the beginnings,0,0,8,0
the beginnings,danny,6,queen of puddings,7,2,NA,1,the beginnings6,1.3887301496588271,0.9999999999999999,4,0,0,0,1,0,0.9647640590818618,0.8679867986798679,0,1,0,danny_the beginnings,0,0,9,0
the beginnings,james,6,queen of puddings,5,7,NA,1,the beginnings6,0.4629100498862757,0.6666666666666666,3,0,0,1,0,0,-0.7093691137674523,0.28712871287128716,0,0,1,james_the beginnings,1,0,NA,0
the beginnings,john,6,queen of puddings,6,5,NA,1,the beginnings6,0.9258200997725514,0.8333333333333333,3,0,0,1,0,0,-0.03971584462772664,0.48679867986798675,0,0,0,john_the beginnings,0,0,NA,0
the beginnings,ryan,6,queen of puddings,3,6,NA,1,the beginnings6,-0.4629100498862757,0.3333333333333333,2,0,1,0,0,0,-0.3745424791975895,0.3795379537953796,0,0,0,ryan_the beginnings,1,0,7,0
the beginnings,sarah-jane,6,queen of puddings,2,4,NA,1,the beginnings6,-0.9258200997725514,0.16666666666666666,1,1,0,0,0,0,0.2951107899421362,0.6039603960396039,0,0,0,sarah-jane_the beginnings,0,0,7,0
the beginnings,brendan,7,jam doughnut,3,4,NA,1,the beginnings7,-0.595974756160385,0.3333333333333333,2,0,1,0,0,0,0.2951107899421362,0.6039603960396039,0,0,0,brendan_the beginnings,0,0,NA,0
the beginnings,cathryn,7,jam doughnut,2,5,NA,1,the beginnings7,-0.9752314191715392,0.16666666666666666,1,1,0,0,0,0,-0.03971584462772664,0.48679867986798675,0,0,0,cathryn_the beginnings,0,0,8,0
